id,name,ownership_boundary,key_files,interfaces_and_call_sites,tests,final_status,decision
S01,"Build, generation, signing, and target contracts","project.yml, Config/, entitlements, generated Xcode project ownership","project.yml; Config/**; .github/**","XcodeGen targets; bundle IDs; App Group; build settings","source audits; XcodeGen; simulator build",verified,"Preserve generated-contract ownership and signing identity."
S02,"App composition and lifecycle","App entry, dependency wiring, foreground/background hooks, durable recovery","StrandiOS/App/StrandiOSApp.swift; Strand/App/AppModel.swift","AppModel; scenePhase handlers; recovery coordinators","PerformanceLifecycleOwnershipTests; source-transition tests",blocked,"Bootstrap policy is specified and tested, but launch integration requires current phone token/log evidence."
S03,"Root navigation and More","Tab shell, route presentation, More catalog, quick actions","StrandiOS/App/RootTabView.swift; Strand/App/NavRouter.swift","RootTabView; NavRouter.Destination; More row arrays","UIUnificationTests; PaperIntegrationContractTests",partial,"Searchable catalog filtering landed; one router and destination enum remain follow-up."
S04,Settings,"Preference navigation, controls, profile/device/scoring/privacy/about destinations","Strand/Screens/SettingsView.swift; Strand/UI/SettingsModels.swift","SettingsView; SettingsSectionModel; SettingsRowModel","UIUnificationTests; SettingsCatalogTests",partial,"Search is added without changing stored keys/actions; destination-file split remains follow-up."
S05,"Today and Home dashboard","First paint, metric presentation, health monitor, dashboard cards","Strand/Screens/TodayView.swift; Strand/Data/DatedHealthMetricResolver.swift","Today health snapshot; dashboard resolver helpers; tile and rail identity","TodayFirstPaintSemanticsTests; TodayHealthSnapshotHydrationTests; DatedHealthMetricResolverTests",verified,"One dated skin-temperature resolver now supplies Home tile and rail."
S06,Stress,"Daily and intraday stress loading, presentation, timeline, advanced HRV readouts","Strand/Screens/StressView.swift; Strand/Screens/StressPresentation.swift; Packages/StrandAnalytics/.../DaytimeStress.swift","StressPresentation; StressPresentationMode; DaytimeStress.Result; LatestWinsLoadState","LatestWinsLoadStateTests; StressPresentationTests",verified,"Intraday-only is loaded content; daily-only, combined, failure, cancellation, stale-owner, and retry coverage is present."
S07,"Health and skin temperature","Health monitor views, raw-to-nightly funnel, baseline deviation, diagnostics","Strand/Screens/SkinTempCardsView.swift; Strand/Data/IntelligenceEngine.swift; Packages/StrandAnalytics/.../AnalyticsEngine.swift","DatedHealthMetricResolver; skinTempFunnel; wornNightlySkinTempC; SkinTemperatureTrace","SkinTemperatureDiagnosticsIssue40Tests; analytics tests; DatedHealthMetricResolverTests",partial,"UI selection is fixed; pipeline changes remain evidence-gated pending current phone trace."
S08,"Trends, insights, and metric exploration","Period selection, trend snapshots, insight presentation","Strand/Screens/TrendsView.swift; Explore/Insights screens","LatestWinsLoadState; trend snapshot models","TrendsSnapshotTests; trends source audit",skip,"No material simplification found."
S09,Sleep,"Sleep presentation, staging, recovery linkage, sleep history","Strand/Screens/SleepView.swift; sleep analytics and models","sleep snapshots; staging preferences","SleepRecoveryAppTests; SleepStagingPreferenceTests",skip,"No proven invalid state or duplicated owner found."
S10,"Workouts and GPS","Manual workout lifecycle, route capture, persistence, detail rendering","Strand/App/GpsWorkoutRecorder.swift; Strand/Screens/WorkoutDetailView.swift; AppModel workout state","ActiveWorkout; RouteStore; WorkoutRouteRenderIdentity","ActiveWorkoutPersistenceTests; GpsRouteReliabilityIssue43Tests",skip,"Current typed route and persistence fixes remain suitable."
S11,"Device registry and device UI","Paired-device records, active device, physical identity, device actions","Strand/Data/DeviceRegistry.swift; Strand/Screens/DevicesView.swift","DeviceRegistry; PairedDevice; source descriptors","DeviceActionsTests; SeededWhoopModelTests",deferred,"WHOOP-only scope must preserve WHOOP 4/5/MG and compatibility reads during migration."
S12,"WHOOP BLE transport","WHOOP scan, connect, bond, commands, live HR, history transport","Strand/BLE/BLEManager.swift; WhoopBleClient and secure-session files","BLEManager; secure session; history callbacks","WhoopProtocol tests; physical WHOOP gates",deferred,"Specialized protocol branching is intentional; physical proof remains open."
S13,"Non-WHOOP live sources and broadcasting","Oura, Huami/Xiaomi, FTMS, generic HR, Apple Watch live source, Garmin broadcast","Strand/BLE/OuraLiveSource.swift; Huami*; FTMSSource.swift; StandardHRSource.swift; GarminBroadcast.swift; SourceCoordinator.swift","LiveHRSource; SourceCoordinator.makeSource; source kinds","source-coordinator and device tests",deferred,"No runtime deletion was performed without a migration and physical-device gate."
S14,"Live state and update cadence","High-frequency heart rate, battery, connection, logs, UI publication cadence","Strand/BLE/LiveState.swift; Strand/App/AppModel.swift","Published live fields; update policies","LiveUpdatePoliciesTests; DebouncedLogTailPersistenceTests",deferred,"Measure invalidation and energy before splitting observable owners."
S15,"Collection and backfill","Live persistence, history chunks, receipt creation, burst completion","Strand/Collect/**; Strand/BLE/BLEManager.swift","Backfiller; commit receipts; cursor progress","BackfillPolicyTests; BackfillerHistoricalCommitReceiptTests",skip,"PR #37 ownership remains suitable."
S16,"Repository and read models","Store lifecycle, source union, refresh intents, Today snapshots, series reads","Strand/Data/Repository.swift; RepositoryPostAnalysisSnapshotBuilder.swift","Repository.refresh; series; storeHandle; verified projection","RepositoryRefreshIntentTests; source precedence tests",verified,"Home now has a bounded dated metric resolver; no broad repository rewrite."
S17,"Intelligence and scoring orchestration","Exact-day analysis, scoring persistence, baselines, alerts","Strand/Data/IntelligenceEngine.swift","analyzeRecent; refreshV5Signals; daily writes","IntelligenceAnalysis*Tests; RecoveryReadinessReceiptTests",skip,"Skin-temperature formulas and orchestration remain unchanged."
S18,"Analytics kernels","Pure scoring and signal algorithms, caches, diagnostic funnels","Packages/StrandAnalytics/Sources/**","DaytimeStress; AnalyticsEngine; HRV analyzers","StrandAnalytics package tests",skip,"Pure local functions and bounded caches remain appropriate."
S19,"Persistence and schema","GRDB store, migrations, registry, raw and derived tables","Packages/WhoopStore/Sources/**","WhoopStore; migrations; registry store","WhoopStore package tests; SQL audits",preserved,"No schema or package compatibility removal was made."
S20,"WHOOP protocol models","Packet parsing, device families, secure protocol, conversions","Packages/WhoopProtocol/Sources/**","WhoopModel; DeviceFamily; packet decoders","WhoopProtocol package tests",preserved,"Keep family-specific models and conversions."
S21,"Durable pipeline core","Receipts, exact-day work, outbox, source-transition state machines","Packages/NoopPhase34Core/Sources/**","HistoricalPipelineCoordinator; SourceTransitionRecoveryCoordinator; VerifiedHealthProjection","NoopPhase34Core package tests; phase audits",preserved,"Widget bootstrap belongs at composition and remains evidence-gated."
S22,"HealthKit bridge","HealthKit import, writeback, background delivery, Apple Watch bridge","StrandiOS/Health/**; HealthKit integration files","HealthKit sync coordinator; writeback planner","HealthKitSyncCoordinatorTests; HealthKit pipeline tests",preserved,"Apple Health import remains in scope."
S23,"Widgets, Live Activities, and shared sink contracts","Verified widget envelope, App Group storage, WidgetKit timeline, sink lifecycle","StrandiOS/Widgets/**; StrandiOSShared/**; StrandiOSWidgets/**","WidgetSnapshot.publish; ActiveVerifiedSinkEpochStore; WidgetProvider","WidgetPublicationIssue44Tests; PR29IOSSinkAndHealthKitTests",blocked,"Pure bootstrap policy is covered; installed-token proof and lifecycle integration remain open."
S24,Imports,"WHOOP import, Apple Health import, Xiaomi import, timestamp normalization","Packages/StrandImport/**; import screens and coordinators","WhoopImporter; import coordinators","StrandImport tests; ImportTimestampHardeningTests",preserved,"WHOOP and approved Apple import remain readable; Xiaomi removal is deferred."
S25,"Design system and shared UI","Tokens, cards, scaffolds, settings row grammar, charts","Packages/StrandDesign/**; Strand/UI/**","ScreenScaffold; SettingsScreenTemplate; row models","StrandDesign tests; UIUnificationTests",verified,"Search metadata reuses existing row grammar."
S26,"Backup, export, diagnostics, coach, and local access","Data movement, diagnostic tools, optional coach, local network access","Strand/System/**; Packages/NoopLocalAccess/**; coach files","DataBackup; exporters; AICoachEngine","backup tests; NoopLocalAccess tests",partial,"No behavior change; Advanced placement remains a Settings follow-up."
S27,"Tests, QA scripts, and CI","Unit tests, package suites, source audits, XcodeGen, CI workflows","StrandTests/**; StrandiOSTests/**; Tools/qa/**; .github/**","test schemes; source-contract audits","all package and iOS suites",verified,"Added presentation, resolver, retry, search, and bootstrap-policy gates."
S28,"Documentation, changelog, plans, and generated ownership","Release notes, plans, source-of-truth documentation, generated project policy","README.md; CHANGELOG.md; plans/**; project.yml","release process and generated artifacts","documentation checks",updated,"This audit package records verified behavior, evidence gates, and migration boundaries."
S29,"Stress presentation owner","Maps daily/intraday coverage to stable UI modes and loaded-content semantics","Strand/Screens/StressPresentation.swift; Packages/StrandDesign/Sources/StrandDesign/StressPresentationMode.swift","StressPresentation.mode; StressView; Home stress snapshot","StressPresentationTests",verified,"New bounded owner; formulas remain in existing analytics kernels."
S30,"Dated Home health metric resolver","Selects newest valid recent daily value with day, age, source, and freshness","Strand/Data/DatedHealthMetricResolver.swift; Strand/Screens/TodayView.swift","DatedHealthMetricResolver.resolveSkinTemperature; tile and rail","DatedHealthMetricResolverTests",verified,"New bounded resolver; no skin-temperature conversion change."
S31,"Verified sink bootstrap policy seam","Classifies token/recovery state before any launch repair","StrandiOSShared/VerifiedSinkBootstrapPolicy.swift","VerifiedSinkBootstrapPolicy; future AppModel integration","VerifiedSinkBootstrapPolicyTests",partial,"Policy is tested; integration is intentionally blocked until phone evidence confirms the missing-token case."
